Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,num_reviews,num_purchases,review_text,sentiment_score,sentiment
0,90420332,FREKVENS,Bar furniture,541.25,No old price,True,https://www.ikea.com/sa/en/p/frekvens-bar-table-in-outdoor-black-90420332/,No,"        Bar table, in/outdoor,          51x51 cm",Nicholai Wiig Hansen,,99.0,51.0,863,3967,"[""Color not as expected. Otherwise fine."", ""Best purchase! Transformed my living room."", ""Great value. Easy to assemble. Looks perfect in my living room.""]",0.5973333333333334,positive
1,368814,NORDVIKEN,Bar furniture,410.2,No old price,False,https://www.ikea.com/sa/en/p/nordviken-bar-table-black-00368814/,No,"        Bar table,          140x80 cm",Francis Cayouette,,105.0,80.0,60,645,"[""Fell apart after a week. Poor quality."", ""Love this item! Super sturdy and stylish."", ""Amazing! Will buy again.""]",0.3341666666666666,positive
2,9333523,NORDVIKEN / NORDVIKEN,Bar furniture,562.87,No old price,False,https://www.ikea.com/sa/en/p/nordviken-nordviken-bar-table-and-4-bar-stools-black-black-s09333523/,No,        Bar table and 4 bar stools,Francis Cayouette,,,,674,1954,"[""Love this item! Super sturdy and stylish."", ""Assembly was tricky, but worth it. Good quality."", ""Best purchase! Transformed my bathroom.""]",0.7448333333333332,positive
3,80155205,STIG,Bar furniture,150.29,No old price,True,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,"        Bar stool with backrest,          74 cm",Henrik Preutz,50.0,100.0,60.0,707,330,"[""Amazing! Will buy again."", ""Exactly what I needed. Highly recommend."", ""Love this item! Super sturdy and stylish.""]",0.6331,positive
4,30180504,NORBERG,Bar furniture,327.39,No old price,True,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,No,"        Wall-mounted drop-leaf table,          74x60 cm",Marcus Arvonen,60.0,43.0,74.0,584,473,"[""Color not as expected. Otherwise fine."", ""Fell apart after a week. Poor quality."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.1990333333333333,positive
5,10122647,INGOLF,Bar furniture,305.81,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,"        Bar stool with backrest,          63 cm",Carina Bengs,45.0,91.0,40.0,199,4415,"[""Amazing! Will buy again."", ""Exactly what I needed. Highly recommend."", ""Great value. Easy to assemble. Looks perfect in my living room.""]",0.6547000000000001,positive
6,70404875,FRANKLIN,Bar furniture,141.44,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44.0,95.0,50.0,134,4299,"[""Exactly what I needed. Highly recommend."", ""Assembly was tricky, but worth it. Good quality."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.6670666666666666,positive
7,60155602,DALFRED,Bar furniture,209.06,No old price,True,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,No,"        Bar stool,          63-74 cm",Sarah Fager,50.0,,50.0,159,1800,"[""Fell apart after a week. Poor quality."", ""Love this item! Super sturdy and stylish."", ""Overpriced for the quality.""]",0.1261999999999999,positive
8,50406465,FRANKLIN,Bar furniture,325.73,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44.0,95.0,50.0,323,4807,"[""Assembly was tricky, but worth it. Good quality."", ""Great value. Easy to assemble. Looks perfect in my bedroom."", ""Amazing! Will buy again.""]",0.7512,positive
9,69304221,EKEDALEN / EKEDALEN,Bar furniture,421.12,"SR 2,375",True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,No,        Bar table and 4 bar stools,Ehlén Johansson,,,,579,2017,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Amazing! Will buy again."", ""Color not as expected. Otherwise fine.""]",0.5659,positive
10,90404879,FRANKLIN,Bar furniture,459.97,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,No,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44.0,103.0,52.0,351,4138,"[""Color not as expected. Otherwise fine."", ""Overpriced for the quality."", ""Amazing! Will buy again.""]",0.2754,positive
11,121766,INGOLF,Bar furniture,92.95,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,No,"        Bar stool with backrest,          74 cm",Carina Bengs,45.0,102.0,40.0,314,4228,"[""Assembly was tricky, but worth it. Good quality."", ""Amazing! Will buy again."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.735,positive
12,397736,NORRARYD,Bar furniture,63.95,No old price,True,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"        Bar stool with backrest,          74 cm",Nike Karlsson,47.0,103.0,46.0,701,2996,"[""Assembly was tricky, but worth it. Good quality."", ""Fell apart after a week. Poor quality."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.3681333333333333,positive
13,50420329,FREKVENS,Bar furniture,296.02,SR 295,True,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,No,"        Bar stool with backrest, in/outdoor,          74 cm",Nicholai Wiig Hansen,53.0,104.0,43.0,691,1499,"[""Color not as expected. Otherwise fine."", ""Overpriced for the quality."", ""Best purchase! Transformed my bedroom.""]",0.2906333333333333,positive
14,400550,EKEDALEN,Bar furniture,486.36,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52.0,114.0,43.0,847,2381,"[""Color not as expected. Otherwise fine."", ""Love this item! Super sturdy and stylish."", ""Exactly what I needed. Highly recommend.""]",0.4925666666666666,positive
15,29304826,TOMMARYD,Bar furniture,153.86,No old price,True,https://www.ikea.com/sa/en/p/tommaryd-table-anthracite-s29304826/,No,"        Table,          130x70/105 cm",Maja Ganszyniec,,105.0,70.0,792,2270,"[""Exactly what I needed. Highly recommend."", ""Amazing! Will buy again."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.6385000000000001,positive
16,40426138,HENRIKSDAL,Bar furniture,474.45,No old price,True,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-frame-dark-brown-40426138/,No,"        Bar stool with backrest frame,          74 cm",Karl Malmvall,51.0,102.0,40.0,63,3839,"[""Fell apart after a week. Poor quality."", ""Amazing! Will buy again."", ""Best purchase! Transformed my bathroom.""]",0.2722666666666666,positive
17,50363649,KULLABERG,Bar furniture,123.63,SR 175,True,https://www.ikea.com/sa/en/p/kullaberg-stool-black-50363649/,Yes,        Stool,Sarah Fager,36.0,,36.0,453,2860,"[""Fell apart after a week. Poor quality."", ""Exactly what I needed. Highly recommend."", ""Overpriced for the quality.""]",-0.0188666666666666,neutral
